Microbial treatment,Light condition,Sampling,Alatospora acuminata,Clavariopsis aquatic,Heliscella stellata,Neonecria lugdunensis,Tetracladium marchalianum,Tricladium angulatum
Fungi,Dark,1,20.5819353658981,8.9913562498989,2.27868570627623,26.3879315884016,21.5046470829252,20.2554440068
Fungi,Dark,2,14.9549892618803,4.85283989191571,1.12397719023374,42.2010823177692,36.113010883917,0.754100454284097
Fungi,Dark,3,6.08262509174821,2.97443889528739,0.757880077413313,69.1284824899749,19.8717613026555,1.18481214292066
Fungi,Light,1,16.7467948527704,8.08343896291517,0.512371286826597,50.7864166541337,23.4409237427654,0.430054500588772
Fungi,Light,2,19.5167258236976,4.34759003475744,1.76120516843026,27.7901011628023,46.2097581626341,0.374619647478214
Fungi,Light,3,23.9940175314661,1.33025575648644,3.16786375056585,48.6207303758505,21.9891809430294,0.897951642801681
Combined low,Dark,1,0,4.44900336866479,18.0064184993847,17.0459747646766,57.120355221817,3.37824814545683
Combined low,Dark,2,5.5364235651576,0,10.2215851488614,38.20419860705,45.8568884691592,0.180904209771811
Combined low,Dark,3,0.0434718660256706,0.23575192752481,7.40048430089088,23.1675134408648,68.3477535150779,0.805024949615982
Combined low,Light,1,27.0748598394788,30.3288533182926,1.0866009336006,26.4222108980855,14.2125587905511,0.874916219991376
Combined low,Light,2,36.8237466522455,11.2436385501875,0.764749294487359,14.8770891192016,35.0628191956725,1.22795718820561
Combined low,Light,3,2.73842151374788,5.88586463968837,0.675771298371598,8.99054299780431,71.2303610348157,10.4790385155721
Combined high,Dark,1,0,1.50250350378359,3.74661714425883,5.07821604398724,89.0593500661752,0.613313241795127
Combined high,Dark,2,6.94402077756076,4.36700519240213,22.9490781698148,25.2652604046732,35.8741191291114,4.6005163264377
Combined high,Dark,3,16.5633210014735,0.0185506062105716,8.31511979523118,21.1440560038793,53.9157418549555,0.043210738249948
Combined high,Light,1,38.2082980506769,19.9175754614788,0.0111344417490689,21.6347032660896,20.2282887800057,0
Combined high,Light,2,26.9724645782748,17.7364503023487,1.49426884969814,2.65251080673855,51.0257265621326,0.118578900807234
Combined high,Light,3,13.4133596934098,28.413131781149,0.305381891294608,25.53693909755,32.2926628887255,0.0385246478710382
